paper_id,title,authors,year,venue_or_source,url,abstract,query_source,source_kind,categories,relevance_score,landscape_rank,serious_skim,deep_read,hostile_prior,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
arxiv_2309_13037_v2,"GELLO: A General, Low-Cost, and Intuitive Teleoperation Framework for Robot Manipulators",Philipp Wu; Yide Shentu; Zhongke Yi; Xingyu Lin; Pieter Abbeel,2023,arXiv,http://arxiv.org/abs/2309.13037v2,"Humans can teleoperate robots to accomplish complex manipulation tasks. Imitation learning has emerged as a powerful framework that leverages human teleoperated demonstrations to teach robots new skills. However, the performance of the learned policies is bottlenecked by the quality, scale, and variety of the demonstration data. In this paper, we aim to lower the barrier to collecting large and high-quality human demonstration data by proposing a GEneraL framework for building LOw-cost and intuitive teleoperation systems for robotic manipulation (GELLO). Given a target robot arm, we build a GELLO controller device that has the same kinematic structure as the target arm, leveraging 3D-printed parts and economical off-the-shelf motors. GELLO is easy to build and intuitive to use. Through an extensive user study, we show that GELLO enables more reliable and efficient demonstration collection compared to other cost efficient teleoperation devices commonly used in the imitation learning literature such as virtual reality controllers and 3D spacemouses. We further demonstrate the capabilities of GELLO for performing complex bi-manual and contact-rich manipulation tasks. To make GELLO accessible to everyone, we have designed and built GELLO systems for 3 commonly used robotic arms: Franka, UR5, and xArm. All software and hardware are open-sourced and can be found on our website: https://wuphilipp.github.io/gello/.",contact_rich,arxiv,cs.RO,12.9,476,0,0,0,Plan or control contact-rich manipulation under discontinuous mechanics.,"Learned policy, dynamics model, representation, or self-supervised predictor.",contact mode abstractions are available or can be searched without semantic role drift; training distribution covers the relevant contact compositions,"object geometry, task family, and controller interface",role-equivalent contacts that induce different mechanics; out-of-distribution tool compositions that require unseen role ordering,contact-mode planning and contact-rich control,a compact symbolic language for role-typed contact transitions across tools; distribution-free checks for impossible contact sequences
arxiv_2312_02328_v2,Multi-Modal MPPI and Active Inference for Reactive Task and Motion Planning,Yuezhe Zhang; Corrado Pezzato; Elia Trevisan; Chadi Salmi; Carlos Hernndez Corbato; Javier Alonso-Mora,2023,arXiv,http://arxiv.org/abs/2312.02328v2,"Task and Motion Planning (TAMP) has made strides in complex manipulation tasks, yet the execution robustness of the planned solutions remains overlooked. In this work, we propose a method for reactive TAMP to cope with runtime uncertainties and disturbances. We combine an Active Inference planner (AIP) for adaptive high-level action selection and a novel Multi-Modal Model Predictive Path Integral controller (M3P2I) for low-level control. This results in a scheme that simultaneously adapts both high-level actions and low-level motions. The AIP generates alternative symbolic plans, each linked to a cost function for M3P2I. The latter employs a physics simulator for diverse trajectory rollouts, deriving optimal control by weighing the different samples according to their cost. This idea enables blending different robot skills for fluid and reactive plan execution, accommodating plan adjustments at both the high and low levels to cope, for instance, with dynamic obstacles or disturbances that invalidate the current plan. We have tested our approach in simulations and real-world scenarios.",task_motion_planning,arxiv,cs.RO,12.9,477,0,0,0,Bridge symbolic task structure and continuous robot motion feasibility.,"Optimization over trajectories, contact modes, or continuous constraints.",predicates expose the contact roles needed by the continuous planner,simulator contact parameters; predicate vocabulary and action library,boundary cases where hidden physical preconditions fail,symbolic precondition/effect planning,mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2606_04072_v1,CADET: A Modular Platform for Evaluating Distributed Cooperative Autonomy in Connected Autonomous Vehicles,Pragya Sharma; Brian Wang; Mani Srivastava,2026,arXiv,http://arxiv.org/abs/2606.04072v1,"Deep learning models are increasingly central to autonomous vehicle (AV) pipelines, yet their integration has traditionally followed a monolithic design where perception, planning, and control execute on a single onboard computer. This design overlooks the emerging paradigm of cooperative autonomy, where vehicles interact with roadside units (RSUs), edge servers, and cloud-hosted intelligence through vehicle-to-everything (V2X) connectivity. Cooperative perception and control improve safety and efficiency, but also introduce systems-level challenges: network latency, compute heterogeneity, and multi-tenant contention, all critically affect real-time decision-making. These challenges are further amplified by the increasing reliance on large foundation models, whose scale necessitates cloud deployment. We present CADET (Cooperative Autonomy through Distributed Experimentation Toolkit), a modular platform for systematic and reproducible evaluation of distributed cooperative autonomy systems under realistic deployment conditions. CADET decouples the AV stack into composable modules that can be flexibly deployed across vehicles, infrastructure, and edge/cloud tiers. The framework integrates state-of-the-art models, incorporates trace-driven network and workload emulation, and provides synchronized model-, system-, and task-level instrumentation. Through V2V and V2I experiments, we show that distributed deployment choices fundamentally shape safety, with V2V intent packets outperforming cloud-based perception and RSU-assisted perception sustaining safety until overloaded by concurrent requests. Although designed for AV pipelines, CADET also supports dataset-driven experimentation, enabling systems and ML researchers to benchmark distributed inference workloads independently of full vehicle simulation. CADET is open source, with code and demo available at https://nesl.github.io/cadet-web.",cs_ro_latest,arxiv,cs.RO cs.DC cs.LG eess.SY,12.85,478,0,0,0,"Enable robots to select, grasp, design, or use tools for physical tasks.","Learned policy, dynamics model, representation, or self-supervised predictor.","tool function is stable across grasp, approach, and target geometry; training distribution covers the relevant contact compositions",simulator contact parameters; predicate vocabulary and action library,grasp makes the functional end unreachable or reverses the required contact side; out-of-distribution tool compositions that require unseen role ordering,"tool-use transfer, task-oriented grasping, and tool design",generalization from tool parts to ordered tool-target-environment contact productions; distribution-free checks for impossible contact sequences; mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2605_07381_v1,Escaping the Diversity Trap in Robotic Manipulation via Anchor-Centric Adaptation,Yanzhe Chen; Kevin Yuchen Ma; Qi Lv; Yiqi Lin; Zechen Bai; Chen Gao; Mike Zheng Shou,2026,arXiv,http://arxiv.org/abs/2605.07381v1,"While Vision-Language-Action (VLA) models offer broad general capabilities, deploying them on specific hardware requires real-world adaptation to bridge the embodiment gap. Since robot demonstrations are costly, this adaptation must often occur under a strict data budget. In this work, we identify a critical diversity trap: the standard heuristic of ""maximizing coverage"" by collecting diverse, single-shot demonstrations can be self-defeating due to non-vanishing estimation noise. We formalize this phenomenon as a Coverage--Density Trade-off. By decomposing the policy error into estimation (density) and extrapolation (coverage) terms, we characterize an interior optimal allocation of unique conditions for a fixed budget. Guided by this analysis, we propose Anchor-Centric Adaptation (ACA), a two-stage framework that first stabilizes a policy skeleton through repeated demonstrations at core anchors, then selectively expands coverage to high-risk boundaries via teacher-forced error mining and constrained residual updates. Real-robot experiments validate our trade-off framework and demonstrate that ACA significantly improves task reliability and success rates over standard diverse sampling strategies under the same budget.",robot_manipulation,arxiv,cs.RO cs.AI,12.85,479,0,0,0,Ground broad pretrained models in embodied robot actions.,Language-model or vision-language-model decomposition into robot actions.,training distribution covers the relevant contact compositions; language decompositions preserve physical contact preconditions,camera viewpoint and perceptual segmentation quality; prompted skill API and object labels,out-of-distribution tool compositions that require unseen role ordering; plausible verbal plan that skips a necessary physical contact,LLM program/planner interfaces for robot manipulation,explicit contact-role compositionality and falsification tests
arxiv_2605_06481_v1,OA-WAM: Object-Addressable World Action Model for Robust Robot Manipulation,Yushan Liu; Peibo Sun; Shoujie Li; Yifan Xie; Lingfeng Zhang; Xintao Chao; Shiyuan Dong; Fang Chen; Xiao-Ping Zhang; Wenbo Ding,2026,arXiv,http://arxiv.org/abs/2605.06481v1,"World Action Models (WAMs) enhance Vision-Language-Action policies by jointly predicting scene evolution and robot actions, but existing methods usually represent the predicted world as holistic images, video tokens, or global latents. These representations are difficult for an action decoder to address when an instruction refers to a particular object, especially under scene shifts where object identity is entangled with context. We propose OA-WAM, an Object-Addressable World Action Model for robust robot manipulation. OA-WAM decomposes each frame into N+1 slot states, with one robot slot and N object slots. Each slot contains a persistent address vector and a time-varying content vector, and is fused with text, image, proprioception, and past-action tokens in a block-causal sequence. A world head predicts next-frame slot states, while a flow-matching action head decodes a 16-step continuous action chunk in the same forward pass. Addressability is enforced by routing cross-slot attention through address-only keys and resetting the address slice at every transformer layer, separating which object to act on from what that object currently is without adding extra tokens. OA-WAM matches strong VLA and WAM baselines on LIBERO (97.8%) and SimplerEnv (79.3%), reaches state-of-the-art performance on the most relevant LIBERO-Plus geometric axes, and remains competitive on the seven-axis aggregate. A causal slot-intervention test yields a swap-binding cosine of 0.87, versus at most 0.09 for holistic baselines. These results suggest that addressable object states provide an effective interface for robust world-action modeling under scene perturbations.",robot_manipulation,arxiv,cs.RO,12.85,480,0,0,0,Ground broad pretrained models in embodied robot actions.,Language-model or vision-language-model decomposition into robot actions.,language decompositions preserve physical contact preconditions,simulator contact parameters; camera viewpoint and perceptual segmentation quality; prompted skill API and object labels,plausible verbal plan that skips a necessary physical contact,LLM program/planner interfaces for robot manipulation,explicit contact-role compositionality and falsification tests
arxiv_2604_27621_v1,Robot Learning from Human Videos: A Survey,Junyi Ma; Erhang Zhang; Haoran Yang; Ditao Li; Chenyang Xu; Guangming Wang; Hesheng Wang,2026,arXiv,http://arxiv.org/abs/2604.27621v1,"A critical bottleneck hindering further advancement in embodied AI and robotics is the challenge of scaling robot data. To address this, the field of learning robot manipulation skills from human video data has attracted rapidly growing attention in recent years, driven by the abundance of human activity videos and advances in computer vision. This line of research promises to enable robots to acquire skills passively from the vast and readily available resource of human demonstrations, substantially favoring scalable learning for generalist robotic systems. Therefore, we present this survey to provide a comprehensive and up-to-date review of human-video-based learning techniques in robotics, focusing on both human-robot skill transfer and data foundations. We first review the policy learning foundations in robotics, and then describe the fundamental interfaces to incorporate human videos. Subsequently, we introduce a hierarchical taxonomy of transferring human videos to robot skills, covering task-, observation-, and action-oriented pathways, along with a cross-family analysis of their couplings with different data configurations and learning paradigms. In addition, we investigate the data foundations including widely-used human video datasets and video generation schemes, and provide large-scale statistical trends in dataset development and utilization. Ultimately, we emphasize the challenges and limitations intrinsic to this field, and delineate potential avenues for future research. The paper list of our survey is available at https://github.com/IRMVLab/awesome-robot-learning-from-human-videos.",robot_manipulation,arxiv,cs.RO cs.CV,12.85,481,0,0,0,Ground broad pretrained models in embodied robot actions.,"Learned policy, dynamics model, representation, or self-supervised predictor.",training distribution covers the relevant contact compositions,camera viewpoint and perceptual segmentation quality,out-of-distribution tool compositions that require unseen role ordering,general robot manipulation representation learning,distribution-free checks for impossible contact sequences
arxiv_2411_11833_v2,Differentiable GPU-Parallelized Task and Motion Planning,William Shen; Caelan Garrett; Nishanth Kumar; Ankit Goyal; Tucker Hermans; Leslie Pack Kaelbling; Toms Lozano-Prez; Fabio Ramos,2024,arXiv,http://arxiv.org/abs/2411.11833v2,"Planning long-horizon robot manipulation requires making discrete decisions about which objects to interact with and continuous decisions about how to interact with them. A robot planner must select grasps, placements, and motions that are feasible and safe. This class of problems falls under Task and Motion Planning (TAMP) and poses significant computational challenges in terms of algorithm runtime and solution quality, particularly when the solution space is highly constrained. To address these challenges, we propose a new bilevel TAMP algorithm that leverages GPU parallelism to efficiently explore thousands of candidate continuous solutions simultaneously. Our approach uses GPU parallelism to sample an initial batch of solution seeds for a plan skeleton and to apply differentiable optimization on this batch to satisfy plan constraints and minimize solution cost with respect to soft objectives. We demonstrate that our algorithm can effectively solve highly constrained problems with non-convex constraints in just seconds, substantially outperforming serial TAMP approaches, and validate our approach on multiple real-world robots. Project website and code: https://cutamp.github.io",task_motion_planning,arxiv,cs.RO,12.85,482,0,0,0,Bridge symbolic task structure and continuous robot motion feasibility.,"Optimization over trajectories, contact modes, or continuous constraints.",predicates expose the contact roles needed by the continuous planner,grasp taxonomy or candidate grasp set; simulator contact parameters; predicate vocabulary and action library,boundary cases where hidden physical preconditions fail,symbolic precondition/effect planning,mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2509_21020_v2,Hybrid Task and Motion Planning with Reactive Collision Handling for Multi-Robot Disassembly of Complex Products: Application to EV Batteries,Abdelaziz Shaarawy; Cansu Erdogan; Rustam Stolkin; Alireza Rastegarpanah,2025,arXiv,http://arxiv.org/abs/2509.21020v2,"This paper addresses the problem of multi-robot coordination for complex manipulation task sequences. We present a vision-driven task-and-motion planning (TAMP) framework for a real dual-agent platform that integrates task decomposition and allocation with a learning-based RRT planner. A GMM-informed motion planner is coupled with a hybrid safety layer that combines predictive collision checking in a MoveIt/FCL digital twin with reactive vision-based avoidance and replanning. This integration is challenging as the system jointly satisfies task precedence, geometric feasibility, dynamic obstacle avoidance, and dual-arm coordination constraints. The framework operates in closed loop by updating the remaining task sequence from repeated scene scans and completion-state tracking rather than executing a fixed open-loop plan. In EV battery disassembly experiments, compared with Default-RRTConnect under identical perception and task assignments, the proposed system reduces cumulative end-effector path length from 48.8 to 17.9~m ($-63.3\%$), improves makespan from 467.9 to 429.8~s ($-8.1\%$), and reduces swept volumes (R1: $0.583\rightarrow0.139\,\mathrm{m}^3$, R2: $0.696\rightarrow0.252\,\mathrm{m}^3$) and overlap ($0.064\rightarrow0.034\,\mathrm{m}^3$). These results show that combining predictive planning and reactive collision avoidance in a real dual-arm disassembly scenario improves motion compactness, safety, and scalability to broader multi-robot sequential manipulation tasks.",task_motion_planning,arxiv,cs.RO,12.8,483,0,0,0,Bridge symbolic task structure and continuous robot motion feasibility.,"Learned policy, dynamics model, representation, or self-supervised predictor.",training distribution covers the relevant contact compositions; predicates expose the contact roles needed by the continuous planner,camera viewpoint and perceptual segmentation quality; predicate vocabulary and action library,out-of-distribution tool compositions that require unseen role ordering,symbolic precondition/effect planning,distribution-free checks for impossible contact sequences; mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2305_12821_v1,FurnitureBench: Reproducible Real-World Benchmark for Long-Horizon Complex Manipulation,Minho Heo; Youngwoon Lee; Doohyun Lee; Joseph J. Lim,2023,arXiv,http://arxiv.org/abs/2305.12821v1,"Reinforcement learning (RL), imitation learning (IL), and task and motion planning (TAMP) have demonstrated impressive performance across various robotic manipulation tasks. However, these approaches have been limited to learning simple behaviors in current real-world manipulation benchmarks, such as pushing or pick-and-place. To enable more complex, long-horizon behaviors of an autonomous robot, we propose to focus on real-world furniture assembly, a complex, long-horizon robot manipulation task that requires addressing many current robotic manipulation challenges to solve. We present FurnitureBench, a reproducible real-world furniture assembly benchmark aimed at providing a low barrier for entry and being easily reproducible, so that researchers across the world can reliably test their algorithms and compare them against prior work. For ease of use, we provide 200+ hours of pre-collected data (5000+ demonstrations), 3D printable furniture models, a robotic environment setup guide, and systematic task initialization. Furthermore, we provide FurnitureSim, a fast and realistic simulator of FurnitureBench. We benchmark the performance of offline RL and IL algorithms on our assembly tasks and demonstrate the need to improve such algorithms to be able to solve our tasks in the real world, providing ample opportunities for future research.",task_motion_planning,arxiv,cs.RO cs.AI cs.LG,12.8,484,0,0,0,Bridge symbolic task structure and continuous robot motion feasibility.,"Sensing/control loop using tactile, force, or impedance signals.",training distribution covers the relevant contact compositions; predicates expose the contact roles needed by the continuous planner,simulator contact parameters; predicate vocabulary and action library,out-of-distribution tool compositions that require unseen role ordering,symbolic precondition/effect planning,distribution-free checks for impossible contact sequences; mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2606_07118_v2,QuadVerse: An Integrated Framework Aligning Visual-Physical Reality for Quadruped Simulation,Yuxiang Chen; Yuanhao Wang; Ziheng Zhang; Meng Zhang; Yu Liu; Yufei Jia; Tiancai Wang; Erjin Zhou; Jin Xie,2026,arXiv,http://arxiv.org/abs/2606.07118v2,"Simulation is central to robot learning, yet the sim-to-real gap remains a major bottleneck. Existing approaches often tackle visual or dynamic gaps separately, overlooking how these individual mismatches accumulate and propagate throughout the robot's state evolution. In this paper, we introduce QuadVerse, an integrated framework that uses reconstructed scenes as a calibration substrate for aligning visual perception, physical interaction, and actuator dynamics. From captured RGB videos, we reconstruct geometry-constrained 3D Gaussian Splatting (3DGS) scenes that support batched photorealistic ego-view rendering and collision-ready semantic mesh extraction. The meshes further enable contact calibration by initializing spatially varying friction priors and refining them through trajectory-based posterior search. To address remaining actuator discrepancies, QuadVerse trains a residual dynamics compensator by replaying real-world trajectories on the contact-calibrated terrain, reducing the entanglement between terrain-induced contact errors and actuator non-idealities. Experiments show that QuadVerse improves reconstruction quality and locomotion tracking over relevant baselines. Leveraging this foundation, we demonstrate robust zero-shot visual-navigation policy deployment without task-specific real-world rollouts.",cs_ro_latest,arxiv,cs.RO,12.75,485,0,0,0,Plan or control contact-rich manipulation under discontinuous mechanics.,"Optimization over trajectories, contact modes, or continuous constraints.",contact mode abstractions are available or can be searched without semantic role drift; training distribution covers the relevant contact compositions,simulator contact parameters,role-equivalent contacts that induce different mechanics; out-of-distribution tool compositions that require unseen role ordering,contact-mode planning and contact-rich control,a compact symbolic language for role-typed contact transitions across tools; distribution-free checks for impossible contact sequences
arxiv_2606_03512_v1,SPADE: Sketch-guided Path Planning Augmented with Diffusion Experts,Charbel Abi Hana; Tatiana Ghantous; Mikael Khalil; Anthony Rizk,2026,arXiv,http://arxiv.org/abs/2606.03512v1,"Path planning is essential for Autonomous Mobile Robots (AMRs). Conventional methods for incorporating human preferences into planning typically rely on either complex reward engineering or hardware-intensive solutions. Recent state-of-the-art frameworks leverage imitation learning to train behavior-specific path planning models from expert demonstrations. However, these approaches face two key limitations: limited generalization to unseen environments and low robustness in demonstration collection. To address these challenges, this work introduces an enhanced framework that focuses on two main contributions: an overhauled annotation tool built on ROS 2, and a novel training strategy that integrates diffusion-based augmentation into baseline behavioral cloning models. A dataset of expert demonstrations is provided and evaluated through ablation studies to assess the robustness of the proposed solution. The enhanced approach outperforms state-of-the-art methods with 39.1% lower Absolute Pose Error (APE) and 33.5% lower Fr'echet Inception Distance (FID) while having 93.8% less trainable parameters. Moreover it attains diffusion-level generalization while preserving the real-time, on-edge properties of state-of-the-art models.",cs_ro_latest,arxiv,cs.RO cs.AI,12.75,486,0,0,0,"Enable robots to select, grasp, design, or use tools for physical tasks.","Learned policy, dynamics model, representation, or self-supervised predictor.","tool function is stable across grasp, approach, and target geometry; training distribution covers the relevant contact compositions",predicate vocabulary and action library,grasp makes the functional end unreachable or reverses the required contact side; out-of-distribution tool compositions that require unseen role ordering,"tool-use transfer, task-oriented grasping, and tool design",generalization from tool parts to ordered tool-target-environment contact productions; distribution-free checks for impossible contact sequences; mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2605_21800_v1,stable-worldmodel: A Platform for Reproducible World Modeling Research and Evaluation,Lucas Maes; Quentin Le Lidec; Luiz Facury; Nassim Massaudi; Ayush Chaurasia; Francesco Capuano; Richard Gao; Taj Gillin; Dan Haramati; Damien Scieur; Yann LeCun; Randall Balestriero,2026,arXiv,http://arxiv.org/abs/2605.21800v1,"World models are central to building agents that can reason, plan, and generalize beyond their training data. However, research on world models is currently fragmented, with disparate codebases, data pipelines, and evaluation protocols hindering reproducibility and fair comparison. Current practice is further limited by three key bottlenecks: fragile one-off codebases, slow video data loading, and the lack of standardized generalization benchmarks. We present stable-worldmodel (swm), an open-source platform for standardized and reproducible world modeling research and evaluation. It delivers (1) a high-performance Lance-based data layer with native support and conversion tools for MP4, HDF5, and LeRobot datasets, (2) clean, well-tested implementations of modern world model baselines and planning solvers, and (3) a broad suite of environments and tasks extended with controllable visual, geometric, and physical factors of variation for systematic in-silico evaluation of dynamics understanding, control performance, representation quality, and out-of-distribution generalization. By unifying the full pipeline under a single, scalable framework, \texttt{swm} dramatically reduces research overhead and accelerates trustworthy progress toward reliable world models.",cs_ro_latest,arxiv,cs.LG cs.RO,12.75,487,0,0,0,"Enable robots to select, grasp, design, or use tools for physical tasks.",Algorithmic robot manipulation model or empirical system.,"tool function is stable across grasp, approach, and target geometry",predicate vocabulary and action library,grasp makes the functional end unreachable or reverses the required contact side,"tool-use transfer, task-oriented grasping, and tool design",generalization from tool parts to ordered tool-target-environment contact productions; mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2605_18074_v1,4DLidarOpen: An Open 4D FMCW Lidar Dataset for Motion-Aware Autonomous Driving,Kane Qian; Xin Zhao; Yining Shi; Rujun Yan; Zhengqing Pan; Kaojin Zhu; Mengmeng Yang; Kai Sun; Diange Yang; Kun Jiang,2026,arXiv,http://arxiv.org/abs/2605.18074v1,"We present 4DLidarOpen, a large-scale open multi-modal dataset for autonomous driving, centered on 4D frequency-modulated continuous-wave (FMCW) Lidar sensing. Unlike conventional time-of-flight Lidar datasets that mainly provide geometric measurements, 4DLidarOpen includes point-wise radial velocity measurements from a forward-facing 4D FMCW Lidar, together with multiple Lidars of different types, including rotating, solid-state, and blind-spot variants, surround-view cameras, and 6-DOF ego-vehicle poses. The dataset was collected in complex urban environments in Beijing and covers dense pedestrian interactions, congested traffic, high-speed driving, and unprotected maneuvers. 4DLidarOpen provides synchronized multi-sensor data and 3D bounding-box annotations with persistent track IDs across five object categories. A hybrid annotation strategy is adopted, where large-scale auto-labeled data support scalable training and human experts refine annotations for the human-annotated training and validation sets. Based on this dataset, we establish benchmarks for 3D object detection, birds-eye view (BEV) segmentation and flow prediction, and motion forecasting with planning. Extensive experiments show that direct velocity measurements from 4D FMCW Lidar provide complementary motion cues for dynamic-scene understanding. Compared with geometric-only sensing, the velocity-aware representation improves motion-related perception and downstream forecasting and planning, especially in scenarios involving vulnerable road users and fast-moving objects. These results indicate that 4D FMCW Lidar is a promising sensing modality for motion-aware autonomous driving. The dataset and evaluation toolkit are publicly released to support research on 4D scene understanding, multi-Lidar fusion, and velocity-aware perception and planning.",cs_ro_latest,arxiv,cs.RO,12.75,488,0,0,0,"Enable robots to select, grasp, design, or use tools for physical tasks.",Algorithmic robot manipulation model or empirical system.,"tool function is stable across grasp, approach, and target geometry",predicate vocabulary and action library,grasp makes the functional end unreachable or reverses the required contact side,"tool-use transfer, task-oriented grasping, and tool design",generalization from tool parts to ordered tool-target-environment contact productions; mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2605_08732_v2,Latent Geometry Beyond Search: Amortizing Planning in World Models,Hoang Nguyen; Xiaohao Xu; Xiaonan Huang,2026,arXiv,http://arxiv.org/abs/2605.08732v2,"Modern vision-based world models can represent observations as compact yet expressive latent manifolds, but fast goal-oriented planning in these spaces remains challenging. This raises a central question: when does a learned representation simplify control, rather than merely enabling prediction? We study this question in a pretrained LeWorldModel, whose latent geometry is regularized for smoothness and uniformity. Our key insight is that, under such geometry, planning can be amortized into a latent inverse-dynamics mapping instead of requiring online search. We therefore replace iterative planning with a lightweight Goal-Conditioned Inverse Dynamics Model (GC-IDM) that maps the current latent state, goal latent state, and remaining horizon directly to the next action. Empirically, across four benchmark environments spanning navigation, contact-rich manipulation, and continuous control, our controller matches or exceeds CEM in seven of eight environment-protocol settings while reducing per-decision cost by 100-130x. A broader sweep over test-time planners (CEM, MPPI, iCEM, and gradient-based methods) shows that this result is not specific to a particular optimizer. These findings suggest that much of the structure recovered by test-time planning is already locally encoded in the latent representation. More broadly, our results indicate that sufficiently structured latent spaces can shift part of the planning burden from online optimization to learned inference. Our code is publicly available at https://github.com/hdnndh/Latent-Geometry-Beyond-Search-Amortizing-Planning-in-World-Models .",contact_rich,arxiv,cs.RO cs.LG,12.75,489,0,0,0,Plan or control contact-rich manipulation under discontinuous mechanics.,"Optimization over trajectories, contact modes, or continuous constraints.",contact mode abstractions are available or can be searched without semantic role drift,simulator contact parameters; camera viewpoint and perceptual segmentation quality; predicate vocabulary and action library,role-equivalent contacts that induce different mechanics,contact-mode planning and contact-rich control,a compact symbolic language for role-typed contact transitions across tools; mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2010_11078_v2,SyDeBO: Symbolic-Decision-Embedded Bilevel Optimization for Long-Horizon Manipulation in Dynamic Environments,Zhigen Zhao; Ziyi Zhou; Michael Park; Ye Zhao,2020,arXiv,http://arxiv.org/abs/2010.11078v2,"This study proposes a Task and Motion Planning (TAMP) method with symbolic decisions embedded in a bilevel optimization. This TAMP method exploits the discrete structure of sequential manipulation for long-horizon and versatile tasks in dynamically changing environments. At the symbolic planning level, we propose a scalable decision-making method for long-horizon manipulation tasks using the Planning Domain Definition Language (PDDL) with causal graph decomposition. At the motion planning level, we devise a trajectory optimization (TO) approach based on the Alternating Direction Method of Multipliers (ADMM), suitable for solving constrained, large-scale nonlinear optimization in a distributed manner. Distinct from conventional geometric motion planners, our approach generates highly dynamic manipulation motions by incorporating the full robot and object dynamics. Furthermore, in lieu of a hierarchical planning approach, we solve a holistically integrated bilevel optimization problem involving costs from both the low-level TO and the high-level search. Simulation and experimental results demonstrate dynamic manipulation for long-horizon object sorting tasks in clutter and on a moving conveyor belt.",task_motion_planning,arxiv,cs.RO,12.75,490,0,0,0,Bridge symbolic task structure and continuous robot motion feasibility.,"Optimization over trajectories, contact modes, or continuous constraints.",language decompositions preserve physical contact preconditions; predicates expose the contact roles needed by the continuous planner,simulator contact parameters; predicate vocabulary and action library; prompted skill API and object labels,plausible verbal plan that skips a necessary physical contact,symbolic precondition/effect planning; LLM program/planner interfaces for robot manipulation,mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2504_15876_v3,Bidirectional Task-Motion Planning Based on Hierarchical Reinforcement Learning for Strategic Confrontation,Qizhen Wu; Lei Chen; Kexin Liu; Jinhu Lu,2025,arXiv,http://arxiv.org/abs/2504.15876v3,"In swarm robotics, confrontation scenarios, including strategic confrontations, require efficient decision-making that integrates discrete commands and continuous actions. Traditional task and motion planning methods separate decision-making into two layers, but their unidirectional structure fails to capture the interdependence between these layers, limiting adaptability in dynamic environments. Here, we propose a novel bidirectional approach based on hierarchical reinforcement learning, enabling dynamic interaction between the layers. This method effectively maps commands to task allocation and actions to path planning, while leveraging cross-training techniques to enhance learning across the hierarchical framework. Furthermore, we introduce a trajectory prediction model that bridges abstract task representations with actionable planning goals. In our experiments, it achieves over 80% in confrontation win rate and under 0.01 seconds in decision time, outperforming existing approaches. Demonstrations through large-scale tests and real-world robot experiments further emphasize the generalization capabilities and practical applicability of our method.",task_motion_planning,arxiv,cs.RO cs.AI,12.7,491,0,0,0,Bridge symbolic task structure and continuous robot motion feasibility.,"Optimization over trajectories, contact modes, or continuous constraints.",training distribution covers the relevant contact compositions; predicates expose the contact roles needed by the continuous planner,predicate vocabulary and action library,out-of-distribution tool compositions that require unseen role ordering,symbolic precondition/effect planning,distribution-free checks for impossible contact sequences; mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2503_04931_v1,Curiosity-Driven Imagination: Discovering Plan Operators and Learning Associated Policies for Open-World Adaptation,Pierrick Lorang; Hong Lu; Matthias Scheutz,2025,arXiv,http://arxiv.org/abs/2503.04931v1,"Adapting quickly to dynamic, uncertain environments-often called ""open worlds""-remains a major challenge in robotics. Traditional Task and Motion Planning (TAMP) approaches struggle to cope with unforeseen changes, are data-inefficient when adapting, and do not leverage world models during learning. We address this issue with a hybrid planning and learning system that integrates two models: a low level neural network based model that learns stochastic transitions and drives exploration via an Intrinsic Curiosity Module (ICM), and a high level symbolic planning model that captures abstract transitions using operators, enabling the agent to plan in an ""imaginary"" space and generate reward machines. Our evaluation in a robotic manipulation domain with sequential novelty injections demonstrates that our approach converges faster and outperforms state-of-the-art hybrid methods.",task_motion_planning,arxiv,cs.RO cs.AI,12.7,492,0,0,0,Bridge symbolic task structure and continuous robot motion feasibility.,"Learned policy, dynamics model, representation, or self-supervised predictor.",training distribution covers the relevant contact compositions; predicates expose the contact roles needed by the continuous planner,predicate vocabulary and action library,out-of-distribution tool compositions that require unseen role ordering,symbolic precondition/effect planning,distribution-free checks for impossible contact sequences; mechanism-level error diagnosis instead of plan/no-plan output
